,CD4,CD68,FOXP3,CD3,CD8,HLA-DR,KI67,PD1,PDL1,aSMA,CD31,PanCK,CD20,CD11c
C04,0.44054436101567174,0.47278665604859244,0.3067804739984966,0.5449002003572789,0.5050200614027847,0.6501828135411026,0.3464020135967761,0.3279730378165629,0.3706335289059414,0.6864554426790708,0.6979850433272722,0.39465342966126643,0.35774894851151157,0.3386852187031014
D01,0.5622700268060798,0.6179825346465246,0.4746829604509378,0.5986970367851313,0.6065117793180982,0.7477988354002141,0.5265944599701946,0.49602149919813654,0.5223215813506128,0.8000446104607764,0.7246485577248811,0.6050559106294865,0.5701648945230697,0.5233469825925494
D02,0.3704325146478278,0.46215233694655,0.25433245633957086,0.3671573111881006,0.4471698954460966,0.3592177848349305,0.25657213330193,0.25927972199331906,0.4405569490470794,0.5926287795078266,0.4935657798603799,0.3050762540931134,0.28538548283827536,0.3047352396341597
D03,0.5793307300535907,0.6679799454561346,0.4038083946676844,0.5156817856465307,0.5898604941398433,0.6820670332428271,0.4697494772877644,0.407371745875942,0.49677994961103594,0.714829506953088,0.6699804493246747,0.6404962704036565,0.538244008779631,0.48274988141404446
D04,0.569129214461966,0.5106875572928615,0.3366367526906377,0.5498867463979857,0.5101857967436944,0.6292996266248784,0.15999820789035954,0.23735957405124172,0.5296543011486324,0.5741279990463322,0.6502390339788366,0.27639704833815615,0.22212641414496626,0.15582082985796744
E01,0.6589964227153592,0.6413952060983203,0.6179593614473143,0.5969506241616082,0.6359766797296265,0.7137837353254377,0.5085643726391658,0.6620225535131844,0.5685306200921783,0.8001822602012382,0.7311304844621114,0.6034258628170772,0.6741352969268645,0.5531766541638437
E02,0.6343512553011968,0.6316681766191434,0.6134655807871353,0.5935270473437678,0.5870150054988427,0.6437267767736936,0.5043238593758091,0.6647240424796522,0.5955097615249507,0.6861215912131191,0.7103404908671104,0.5975015554223319,0.6219985565312721,0.5769436024041155
E03,0.4284026275846118,0.46818288638161976,0.17269999783847356,0.3789673623126167,0.31851688955851076,0.39318804028101906,0.15365532671574425,0.4826746924237776,0.2895773405638689,0.40944122064341626,0.5291507545459573,0.22067318407412048,0.35026334915171226,0.21030552538295139
E04,0.6489887833467958,0.7475244455197988,0.43629231642098587,0.6937610873661061,0.6266763326497974,0.7495306020932814,0.5034380245428933,0.4879005726365599,0.5652101852858348,0.6543379958083375,0.7293643794723789,0.5482494241328086,0.47729295127600596,0.5445327099769113
F01,0.5370583776335485,0.5526826633921392,0.49928376890889997,0.5880014469428967,0.5455905461816266,0.5770248859183562,0.4293006080087562,0.5171543315411775,0.5635779347404691,0.6167502030246536,0.591899831821759,0.4602674746993994,0.6570274674816275,0.4648313507981587
F02,0.520877890621945,0.6122312683536597,0.47790942636142936,0.5616462948621141,0.6244775499653373,0.6390983889104808,0.5074896696110056,0.4668165471599838,0.6043771450771911,0.6324503794613469,0.617985096059836,0.549646240015205,0.616280917312651,0.5397369647479574
F03,0.523985932383915,0.5021735060435577,0.3174290362477469,0.4851562766397399,0.5071602950284673,0.45940877960025134,0.29975444904561244,0.38837136662380384,0.4691987334436171,0.6400279777746987,0.5284815456960633,0.38343500130293134,0.5775530789248265,0.46987076846477605
F04,0.6832102136710024,0.793174048947031,0.5588280391911261,0.7090123778203595,0.6876821825454835,0.7998872451341028,0.5512749704753471,0.5283000165195166,0.5580038867925546,0.7503269480674659,0.7863019467290359,0.6162537174088525,0.6159007733379304,0.573334534209554
G01,0.5680431824637017,0.5504631816965976,0.21772531590952313,0.48805445685615506,0.5476377727544597,0.4830146966843384,0.12951891847831679,0.2578261213768429,0.29888526474013677,0.408590498764144,0.4637372148771154,0.17028999246693602,0.26726241864862066,0.26827374245969704
G02,0.42209803266652696,0.5571931252943833,0.30545576835753957,0.45991389100091035,0.4235224745821126,0.41073419820832296,0.2857998928052991,0.2976036247921324,0.48648243511675593,0.45114429315543914,0.623114141734583,0.3023559551294755,0.33396902219690555,0.38793931461448383
G03,0.6536972012001564,0.6869136096237077,0.5090550338118625,0.6360621878482203,0.5507245655376595,0.5899994000701154,0.505903629975024,0.5240629867495566,0.6637203676971641,0.6547188289261372,0.65640453250764,0.49766530947772136,0.5948341377074515,0.5986810904650716
G04,0.644152804767501,0.7553710179071126,0.5013442910064303,0.7091702723347393,0.6357408857881697,0.6819181469430354,0.5611147931559671,0.4739989650832722,0.5621097684420706,0.8066809005867134,0.7855169872687616,0.607294248385838,0.5428959333389517,0.548409480779299
H01,0.5288421161010936,0.5239573472652506,0.480643598416387,0.47613514192991735,0.525998328529031,0.5428391763729394,0.3252929900512274,0.38842630792436333,0.5410215826358115,0.6781010286746787,0.6083115519442602,0.3877560561151211,0.6433217012772515,0.3782208172391824
H03,0.5643923872544985,0.7415602048443465,0.49824524373756557,0.6798996939444228,0.630560342642835,0.5920222050374234,0.6153691943511265,0.5387022696500833,0.6267980698479384,0.7805374102522961,0.6530747578673887,0.5695972265339199,0.5721725605041077,0.5406238837898995
