names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
MTMR10,-0.14669122,,0.8833757545884054,0.9164301825115272,R_Pre_vs_NR_Pre,0.03790061581355771
TRPC4AP,-0.14686036,-3.8179855,0.883242234423594,0.9163446617172023,R_Pre_vs_NR_Pre,0.03794114584288149
FARSB,-0.14696187,,0.8831621239165744,0.9163145455963626,R_Pre_vs_NR_Pre,0.03795541938053213
CBLL1,-0.14909321,,0.8814800805312054,0.9147810057604144,R_Pre_vs_NR_Pre,0.03868286153258276
DDIT3,-0.14933003,,0.8812932196738803,0.9146400008395085,R_Pre_vs_NR_Pre,0.038749809117606664
ERGIC2,-0.1507171,,0.8801988819708118,0.9137157143977096,R_Pre_vs_NR_Pre,0.03918890587784959
MUL1,-0.15075094,,0.8801721936566773,0.9137157143977096,R_Pre_vs_NR_Pre,0.03918890587784959
TESK1,-0.15281463,-0.5868943,0.8785444650100677,0.9123678928588314,R_Pre_vs_NR_Pre,0.03983000638485334
RABGEF1,-0.15413404,,0.8775040545791968,0.9116040847305051,R_Pre_vs_NR_Pre,0.04019373749347862
SCPEP1,-0.15416786,-5.912647,0.8774773801629965,0.9116040847305051,R_Pre_vs_NR_Pre,0.04019373749347862
FOXJ1,-0.15450618,,0.8772106436577389,0.9114576300934036,R_Pre_vs_NR_Pre,0.04026351509931824
TBK1,-0.15481065,,0.8769705927227514,0.9112609912680713,R_Pre_vs_NR_Pre,0.040357220354863735
METTL14,-0.15487832,,0.8769172496063606,0.9112583491738442,R_Pre_vs_NR_Pre,0.04035847954253656
FAM13C,-0.15535195,,0.8765438634569638,0.9109231112155156,R_Pre_vs_NR_Pre,0.040518279211487346
GJA1,-0.1557241,,0.8762505078941589,0.9106710087256907,R_Pre_vs_NR_Pre,0.0406384889988439
GCNT4,-0.15629922,-1.1861478,0.8757971736580816,0.9103580982255703,R_Pre_vs_NR_Pre,0.04078774010565006
ZDHHC4,-0.15633304,,0.8757705082058908,0.9103580982255703,R_Pre_vs_NR_Pre,0.04078774010565006
