,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,sample
SLC35A3,0.02688896161257999,0.04977168246232777,0.00027697916209538004,0.0172269334903965,0.039603960396039604,0.0001442932710612107,0.13451806070899397,0.04443049641708593,0.09659502535619416,YP04C
PLA2G2A,0.5400006583739757,0.0,0.0003115701634083784,0.0,0.009900990099009901,0.0004833746917564458,0.0,0.0,0.02020610224287735,YP12A
CLCA1,0.2507597700424895,0.0,0.0003115701634083784,0.0,0.009900990099009901,0.0002666311449077932,0.0,0.0,0.02020610224287735,YP12A
CLCA2,0.21224969786547496,0.0,0.0003115701634083784,0.0,0.009900990099009901,0.00024002727826546598,0.0,0.0,0.02020610224287735,YP12A
PDZK1IP1,0.20320826924949775,0.0,0.0003115701634083784,0.0,0.009900990099009901,0.0003013764500612708,0.0,0.0,0.02020610224287735,YP12A
MARCKSL1,0.19988187098669863,0.0,0.0003115701634083784,0.0,0.009900990099009901,0.0002540110636951815,0.0,0.0,0.02020610224287735,YP12A
SFN,0.1801282801931323,0.0,0.0003115701634083784,0.0,0.009900990099009901,0.00027402778995034736,0.0,0.0,0.02020610224287735,YP12A
ENO1,0.1776709515695077,0.0,0.0003115701634083784,0.0,0.009900990099009901,0.0003030128332189133,0.0,0.0,0.02020610224287735,YP12A
TRNP1,0.1722342950402506,0.0,0.0003115701634083784,0.0,0.009900990099009901,0.00020255261653673813,0.0,0.0,0.02020610224287735,YP12A
AKR1A1,0.12486074348581853,5.657696533489798e-13,0.0003115701634083784,0.0,0.009900990099009901,0.00017930976047465116,6.286329481655331e-12,0.0,0.02020610224287735,YP12A
TMEM54,0.11892686152839756,6.121880780085576e-12,0.0003115701634083784,0.0,0.009900990099009901,0.0001763579520740231,6.121880780085576e-11,0.0,0.02020610224287735,YP12A
SRM,0.11858060340524415,7.0103922666930885e-12,0.0003115701634083784,2.220446049250313e-16,0.009900990099009901,0.0002158133973385141,6.373083878811899e-11,1.586032892321652e-15,0.02020610224287735,YP12A
ECHDC2,0.11548000327562898,2.3202995080850997e-11,0.0003115701634083784,0.0,0.009900990099009901,0.00018492688419697922,1.9335829234042498e-10,0.0,0.02020610224287735,YP12A
PSMB2,0.11475404649338639,3.0573876763639873e-11,0.0003115701634083784,0.0,0.009900990099009901,0.00013659520254517433,2.3518366741261443e-10,0.0,0.02020610224287735,YP12A
HDAC1,0.11237505135626953,7.463096807214242e-11,0.0003115701634083784,0.0,0.009900990099009901,0.0001308121997965063,5.330783433724458e-10,0.0,0.02020610224287735,YP12A
TSPAN1,0.11196909343883872,8.675271612190727e-11,0.0003115701634083784,9.992007221626409e-16,0.009900990099009901,0.00019288940212201664,5.783514408127152e-10,6.661338147750939e-15,0.02020610224287735,YP12A
ELOVL1,0.11136081000701663,1.085934675515432e-10,0.0003115701634083784,2.041700142285663e-13,0.009900990099009901,0.00023217145360491674,6.78709172197145e-10,1.2010000836974486e-12,0.02020610224287735,YP12A
DHCR24,0.10865369368825162,2.908665530654275e-10,0.0003115701634083784,8.570921750106208e-14,0.009900990099009901,0.00022848674328966644,1.7109797239142795e-09,5.35682609381638e-13,0.02020610224287735,YP12A
NDUFS5,0.09884565204030732,8.519893901492992e-09,0.0003115701634083784,1.697908480480237e-11,0.009900990099009901,0.00021679141311075546,4.733274389718329e-08,9.432824891556872e-11,0.02020610224287735,YP12A
DDAH1,0.0961437724520346,2.0489612895246978e-08,0.0003115701634083784,9.841016890277388e-11,0.009900990099009901,0.00022494466510976415,1.0784006786972093e-07,4.473189495580631e-10,0.02020610224287735,YP12A
PGD,0.09313115207769404,5.306416128725289e-08,0.0003115701634083784,2.334921145319413e-11,0.009900990099009901,0.00019969857596829787,2.6532080643626443e-07,1.1674605726597065e-10,0.02020610224287735,YP12A
GBP2,0.08902446020738265,1.855160373098741e-07,0.0003115701634083784,2.206101967772156e-11,0.009900990099009901,0.00018725957170343682,8.834097014755909e-07,1.1611062988274506e-10,0.02020610224287735,YP12A
RER1,0.0852827910871245,5.544075449837038e-07,0.0003115701634083784,1.8125197676077676e-08,0.009900990099009901,0.00023605526885392007,2.520034295380472e-06,6.971229875414491e-08,0.02020610224287735,YP12A
GALE,0.08414749928920393,7.66230678794777e-07,0.0003115701634083784,3.112710089681059e-11,0.009900990099009901,0.0001647059506241969,3.331437733890335e-06,1.4822428998481233e-10,0.02020610224287735,YP12A
CMPK1,0.08313154536178852,1.0201117742747456e-06,0.0003115701634083784,1.0354394119893584e-08,0.009900990099009901,0.00023318114805439635,4.250465726144774e-06,4.1417576479574336e-08,0.02020610224287735,YP12A
GBP4,0.08165385913292256,1.5379641742363503e-06,0.0003115701634083784,1.520743309058048e-09,0.009900990099009901,0.00018771681256261004,6.151856696945401e-06,6.611927430687165e-09,0.02020610224287735,YP12A
FBLIM1,0.07049210898340634,2.749503479138049e-05,0.0003115701634083784,6.941008765526391e-07,0.009900990099009901,0.000211155319450172,0.00010575013381300188,2.3136695885087972e-06,0.02020610224287735,YP12A
SERINC2,0.06857008596655513,4.3464064566123284e-05,0.0003115701634083784,5.167444749876182e-08,0.009900990099009901,0.0001602105216532499,0.0001609780169115677,1.8455159820986363e-07,0.02020610224287735,YP12A
CDK11A,0.06811922032667829,4.831391624648962e-05,0.0003115701634083784,2.0704588044040406e-09,0.009900990099009901,0.0001375436812350286,0.00017254970088032004,8.626911685016836e-09,0.02020610224287735,YP12A
LRRC41,0.06737180215818125,5.749606892180292e-05,0.0003115701634083784,6.613124016174865e-07,0.009900990099009901,0.00018818745660036148,0.00019826230662690664,2.2803875917844366e-06,0.02020610224287735,YP12A
ARHGEF16,0.06374279037733777,0.00013062602961610992,0.0003115701634083784,1.145567303595385e-05,0.009900990099009901,0.0002168088235570677,0.0004354200987203664,3.273049438843958e-05,0.02020610224287735,YP12A
TNFRSF14,0.06324274746751375,0.00014580530281449455,0.0003115701634083784,3.3007759328018693e-06,0.009900990099009901,0.00019353708642549873,0.00047033968649836956,1.0314924790005842e-05,0.02020610224287735,YP12A
SDHB,0.06149630664781485,0.000212782967659364,0.0003115701634083784,5.177015621860015e-06,0.009900990099009901,0.00018828487192107908,0.0006649467739355125,1.568792612684853e-05,0.02020610224287735,YP12A
MRTO4,0.0597684663609014,0.0003064813849823489,0.0003115701634083784,2.129666676342623e-08,0.009900990099009901,0.00012334541341453236,0.0009287314696434815,7.88765435682453e-08,0.02020610224287735,YP12A
THRAP3,0.05944959041630537,0.000327507358029111,0.0003115701634083784,1.610456557776807e-06,0.009900990099009901,0.00017416025985146722,0.0009632569353797382,5.1950211541187325e-06,0.02020610224287735,YP12A
PRDX1,0.05879567963802068,0.00037488514142958174,0.0003115701634083784,1.5020453524305921e-05,0.009900990099009901,0.00021311693891913828,0.0010711004040845193,4.17234820119609e-05,0.02020610224287735,YP12A
EBNA1BP2,0.05560550909676854,0.000711439779390366,0.0003115701634083784,6.071941935603675e-05,0.009900990099009901,0.0002034081385677556,0.001976221609417683,0.00014120795199078315,0.02020610224287735,YP12A
FBXO2,0.05474652506188802,0.0008409830724570577,0.0003115701634083784,2.4957995983565517e-05,0.009900990099009901,0.00018472316429625165,0.0022729272228569127,6.745404319882572e-05,0.02020610224287735,YP12A
C1QA,0.05417792997285589,0.0009383140814134272,0.0003115701634083784,4.985906973753451e-05,0.009900990099009901,0.00021317266062724044,0.002469247582666914,0.00012160748716471833,0.02020610224287735,YP12A
NADK,0.05320320669655795,0.0011295428738602453,0.0003115701634083784,3.638321878207673e-05,0.009900990099009901,0.00018593036452801664,0.002896263779128834,9.329030456942751e-05,0.02020610224287735,YP12A
MTOR,0.04935262210909035,0.002286089218821896,0.0003115701634083784,3.134527929604669e-05,0.009900990099009901,0.00015558931689023509,0.0057152230470547405,8.248757709485972e-05,0.02020610224287735,YP12A
EXOSC10,0.048629447931330456,0.0025969516125387004,0.0003115701634083784,8.455250651517865e-06,0.009900990099009901,0.00013571359748448388,0.006334028323265123,2.4868384269170188e-05,0.02020610224287735,YP12A
SSU72,0.04641397220421558,0.0038011318394852722,0.0003115701634083784,5.209986204035566e-05,0.009900990099009901,0.00014649259007119177,0.009050313903536363,0.00012404729057227537,0.02020610224287735,YP12A
AGMAT,0.04585091440826601,0.004177911988602401,0.0003115701634083784,0.00026801548673194286,0.019801980198019802,0.00018994544711021746,0.009716074392098607,0.0005955899705154285,0.036003600360036,YP12A
PLPPR5,0.04409869554563747,0.005573205341839693,0.0003115701634083784,4.0736624985049374e-05,0.009900990099009901,0.00013062646848125035,0.012666375776908394,0.00010184156246262344,0.02020610224287735,YP12A
MAST2,0.0436008679022813,0.006038753628771154,0.0003115701634083784,0.0006991265496439913,0.009900990099009901,0.0001783440666769539,0.013419452508380341,0.0014875032971148753,0.02020610224287735,YP12A
LMO4,0.04207148987766455,0.007691636304898886,0.0003115701634083784,0.000438159935025384,0.019801980198019802,0.00015001351224373406,0.01672094848891062,0.0009525215978812695,0.036003600360036,YP12A
RCC1,0.04044997736589897,0.009867073070385368,0.0003115701634083784,0.0025505132655939677,0.009900990099009901,0.00017742659384903581,0.020993772490181636,0.0051010265311879355,0.02020610224287735,YP12A
AADACL3,0.03950114737665512,0.01137489508396905,0.0003115701634083784,0.0010453634272615808,0.019801980198019802,0.00017436192182361906,0.023697698091602187,0.0021333947495134303,0.036003600360036,YP12A
PDE4B,0.037074691309800616,0.01617153239282798,0.0003115701634083784,0.0001832177476542851,0.009900990099009901,0.00012001558301551443,0.033003127332302006,0.00041640397194155705,0.02020610224287735,YP12A
UQCRH,0.03557901266876224,0.01991969554299433,0.0003115701634083784,0.0007844984599576499,0.019801980198019802,0.00014358116069428166,0.03983939108598866,0.0016343717915784373,0.036003600360036,YP12A
CAPZB,0.03515791009847741,0.02109943269904202,0.0003115701634083784,0.003062207400010619,0.009900990099009901,0.00017974223395316434,0.04137143666478827,0.006004328235314939,0.02020610224287735,YP12A
SLC9A1,0.034064984981364135,0.024440036423401756,0.0003115701634083784,0.0034711385317058863,0.009900990099009901,0.00014355856986033005,0.047000070045003374,0.006675266407126704,0.02020610224287735,YP12A
EMC1,0.03365327504841947,0.025808654351140325,0.0003115701634083784,0.005743228469270223,0.0297029702970297,0.00018408508266272707,0.04869557424743457,0.010635608276426338,0.05121201775349949,YP12A
ZMPSTE24,0.032838262408501864,0.02870744821768345,0.0003115701634083784,0.0037953590955863703,0.009900990099009901,0.0001369656907783504,0.05316194114385824,0.007161054897332774,0.02020610224287735,YP12A
RAVER2,0.031688947931336676,0.03325085231307401,0.0003115701634083784,0.014663172963759075,0.0297029702970297,0.00020478469927930288,0.06045609511468001,0.026184237435284058,0.05121201775349949,YP12A
SLC35D1,0.03015723324035685,0.040210301638198165,0.0003115701634083784,0.022593627290236507,0.039603960396039604,0.00020149841987720867,0.071804110068211,0.0389545298107526,0.06600660066006601,YP12A
PLA2G2A,0.6947079615097784,0.0,0.0005820351815126267,0.0,0.009900990099009901,0.0011930185487662775,0.0,0.0,0.03414134516899966,YP12C
CLCA2,0.5118809543793997,0.0,0.0005820351815126267,0.0,0.009900990099009901,0.0006528413351312176,0.0,0.0,0.03414134516899966,YP12C
SFN,0.5039904257772202,0.0,0.0005820351815126267,0.0,0.009900990099009901,0.0008939082105606938,0.0,0.0,0.03414134516899966,YP12C
CTRC,0.4911916020018032,0.0,0.0005820351815126267,0.0,0.009900990099009901,0.0008699404942787153,0.0,0.0,0.03414134516899966,YP12C
CELA3A,0.4722389405658089,0.0,0.0005820351815126267,0.0,0.009900990099009901,0.0006577820567565361,0.0,0.0,0.03414134516899966,YP12C
CELA3B,0.40361774188420324,0.0,0.0005820351815126267,0.0,0.009900990099009901,0.0006361217008699067,0.0,0.0,0.03414134516899966,YP12C
IFI6,0.21624566840948026,0.0,0.0005820351815126267,0.0,0.009900990099009901,0.00042185550797339057,0.0,0.0,0.03414134516899966,YP12C
GBP6,0.16469200856675312,3.1676883338604966e-12,0.0005820351815126267,0.0,0.009900990099009901,0.0003768970856773143,3.959610417325621e-11,0.0,0.03414134516899966,YP12C
CELA2B,0.15892782133976993,1.6449841488963557e-11,0.0005820351815126267,1.5432100042289676e-14,0.009900990099009901,0.00043542109501530966,1.8277601654403952e-10,1.7146777824766308e-13,0.03414134516899966,YP12C
TRNP1,0.15628258453334654,3.43827188942214e-11,0.0005820351815126267,1.820210648872944e-12,0.009900990099009901,0.000517567302526395,3.43827188942214e-10,1.820210648872944e-11,0.03414134516899966,YP12C
GBP2,0.09632299113405106,2.6954927821898345e-05,0.0005820351815126267,7.758238496080594e-12,0.009900990099009901,0.00021972562273710254,0.00024504479838089404,7.052944087345995e-11,0.03414134516899966,YP12C
GRHL3,0.09281082329097856,4.962543538189479e-05,0.0005820351815126267,1.4201381290934734e-06,0.009900990099009901,0.00037615178430616485,0.0004135452948491233,9.848108928345312e-06,0.03414134516899966,YP12C
MCOLN3,0.0872102836466247,0.0001259732498878341,0.0005820351815126267,1.4772163392517967e-06,0.009900990099009901,0.00036943338928919036,0.0009690249991371853,9.848108928345312e-06,0.03414134516899966,YP12C
GPSM2,0.07229957407295434,0.0011741890077439088,0.0005820351815126267,0.00011062265606887056,0.009900990099009901,0.0003411825802351755,0.008387064341027919,0.0006507215062874738,0.03414134516899966,YP12C
SLC2A5,0.0700265036494623,0.001599164087494609,0.0005820351815126267,5.929165755813592e-06,0.019801980198019802,0.0002686512881448921,0.010661093916630726,3.705728597383495e-05,0.060006000600060005,YP12C
GBP4,0.06875488978245164,0.0018940081350017346,0.0005820351815126267,0.00048792370956252107,0.009900990099009901,0.0004323247940512403,0.011837550843760841,0.0024396185478126053,0.03414134516899966,YP12C
SH2D5,0.06624963736287563,0.0026236013737819253,0.0005820351815126267,3.4391348879836414e-08,0.009900990099009901,0.00015219715883899206,0.015432949257540735,2.6454883753720316e-07,0.03414134516899966,YP12C
TNFRSF4,0.0648730236668818,0.0031247802061803442,0.0005820351815126267,1.1657926846098121e-09,0.009900990099009901,0.00012934331169236712,0.017359890034335246,9.714939038415101e-09,0.03414134516899966,YP12C
NR0B2,0.06324684573730674,0.0038267346091780396,0.0005820351815126267,0.001168206397804461,0.019801980198019802,0.0004243214550049145,0.020140708469358105,0.005310029080929368,0.060006000600060005,YP12C
LPAR3,0.062198519139558615,0.004351144144847496,0.0005820351815126267,0.0003338615895963626,0.009900990099009901,0.00033293041232587624,0.02175572072423748,0.0017571662610334873,0.03414134516899966,YP12C
SVBP,0.059313001650851634,0.006141141199895062,0.0005820351815126267,0.00015443782595137012,0.009900990099009901,0.0002863627884907196,0.02924352952330982,0.0008579879219520563,0.03414134516899966,YP12C
LRRC41,0.057715861486564116,0.007389965789652342,0.0005820351815126267,0.0006777191277298478,0.009900990099009901,0.0003160256661948736,0.03359075358932883,0.0032272339415707037,0.03414134516899966,YP12C
SYTL1,0.05591407952233235,0.009062783564277033,0.0005820351815126267,0.007950590522533996,0.019801980198019802,0.0005171189845935008,0.03940340680120449,0.029446631564940724,0.060006000600060005,YP12C
COL16A1,0.05146450925386866,0.014680403018619725,0.0005820351815126267,0.0036070475752978393,0.009900990099009901,0.0003424227901248629,0.06116834591091552,0.015029364897074331,0.03414134516899966,YP12C
RCC1,0.04864692441497162,0.019612494394613655,0.0005820351815126267,0.004110522391031157,0.0297029702970297,0.00032922521667653326,0.07844997757845462,0.01644208956412463,0.08250825082508251,YP12C
TMEM59,0.04703950568035968,0.023011016233835058,0.0005820351815126267,0.004440901544946918,0.0297029702970297,0.0002908630183699395,0.0885039085916733,0.017080390557488147,0.08250825082508251,YP12C
ISG15,0.044200081080689735,0.030225017589293968,0.0005820351815126267,0.0033190758247809704,0.009900990099009901,0.00027127286428143264,0.11194450958997765,0.014430764455569437,0.03414134516899966,YP12C
BCL10,0.04367968646839858,0.03173202445419854,0.0005820351815126267,0.010846928935206446,0.019801980198019802,0.0003192554499826275,0.11332865876499476,0.03873903191145159,0.060006000600060005,YP12C
