names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
ARAF,53.160477,,0.0,0.0,R_Post_vs_NR_Post,100.0
PDGFB,53.152718,,0.0,0.0,R_Post_vs_NR_Post,100.0
EPS8,53.151268,0.37455535,0.0,0.0,R_Post_vs_NR_Post,100.0
IGLC1,53.104603,,0.0,0.0,R_Post_vs_NR_Post,100.0
MICU1,53.06165,-1.7421548,0.0,0.0,R_Post_vs_NR_Post,100.0
SMARCA1,53.050316,0.6629175,0.0,0.0,R_Post_vs_NR_Post,100.0
POMP,53.021847,3.1265748,0.0,0.0,R_Post_vs_NR_Post,100.0
ARSA,52.99305,,0.0,0.0,R_Post_vs_NR_Post,100.0
PRDX1,52.97931,12.534624,0.0,0.0,R_Post_vs_NR_Post,100.0
SLC39A11,52.945488,,0.0,0.0,R_Post_vs_NR_Post,100.0
SIN3A,52.945183,,0.0,0.0,R_Post_vs_NR_Post,100.0
KRTCAP3,52.921432,0.070122115,0.0,0.0,R_Post_vs_NR_Post,100.0
NRBP2,52.86357,-3.446894,0.0,0.0,R_Post_vs_NR_Post,100.0
PDGFRA,52.828068,,0.0,0.0,R_Post_vs_NR_Post,100.0
MYO15B,52.759697,0.02730785,0.0,0.0,R_Post_vs_NR_Post,100.0
PFDN5,52.748024,,0.0,0.0,R_Post_vs_NR_Post,100.0
HNRNPK,52.745213,19.83115,0.0,0.0,R_Post_vs_NR_Post,100.0
UFM1,52.697674,3.0742836,0.0,0.0,R_Post_vs_NR_Post,100.0
MYO5C,52.68957,,0.0,0.0,R_Post_vs_NR_Post,100.0
BCAR3,52.672623,,0.0,0.0,R_Post_vs_NR_Post,100.0
MUC20,52.613174,1.2405813,0.0,0.0,R_Post_vs_NR_Post,100.0
DDX60L,52.611282,-3.7694564,0.0,0.0,R_Post_vs_NR_Post,100.0
PLEK2,52.557323,16.75525,0.0,0.0,R_Post_vs_NR_Post,100.0
HTATSF1,52.554283,0.91011107,0.0,0.0,R_Post_vs_NR_Post,100.0
UNC93B1,52.547424,,0.0,0.0,R_Post_vs_NR_Post,100.0
ARPC1A,52.535595,-0.2515098,0.0,0.0,R_Post_vs_NR_Post,100.0
CCNG2,52.50011,0.1488336,0.0,0.0,R_Post_vs_NR_Post,100.0
KLHDC7B,52.420067,,0.0,0.0,R_Post_vs_NR_Post,100.0
VWF,52.36494,-0.7263028,0.0,0.0,R_Post_vs_NR_Post,100.0
TSPAN15,52.346195,1.1046449,0.0,0.0,R_Post_vs_NR_Post,100.0
BRWD1,52.336945,-3.1752572,0.0,0.0,R_Post_vs_NR_Post,100.0
UBA7,52.29934,-0.7833329,0.0,0.0,R_Post_vs_NR_Post,100.0
CERS2,52.29357,0.68966717,0.0,0.0,R_Post_vs_NR_Post,100.0
SPOCK1,52.239132,,0.0,0.0,R_Post_vs_NR_Post,100.0
MET,52.217117,,0.0,0.0,R_Post_vs_NR_Post,100.0
ADAM12,52.162678,,0.0,0.0,R_Post_vs_NR_Post,100.0
FAM168A,52.132736,,0.0,0.0,R_Post_vs_NR_Post,100.0
IFI35,52.124443,,0.0,0.0,R_Post_vs_NR_Post,100.0
