protein,gene,spearman_r,spearman_p,pearson_r,pearson_p,n_cells,sample_id
CD11c,ITGAX,0.030292985941318434,6.844689806913521e-19,0.03499368891175591,1.1153659025003674e-24,85842,H01
HLA-DR,HLA-DRA,0.4340958183778163,0.0,0.3355948232244559,0.0,85842,H01
aSMA,ACTA2,0.127077850113756,7.27423890405261e-306,0.19412421124000276,0.0,85842,H01
KI67,MKI67,-8.450172361377583e-05,0.9802482829700891,0.0010238804919890832,0.7641920575779025,85842,H01
PD1,PDCD1,0.007998134142909875,0.01911087595103311,0.011435766736798405,0.0008063558027835394,85842,H01
PDL1,CD274,-0.028698713544353813,4.100461268680014e-17,-0.02057196670377509,1.6611345684694821e-09,85842,H01
FOXP3,FOXP3,-0.006833272300534517,0.0452781311273559,-0.005171739452165689,0.129710131217397,85842,H01
CD3,CD3D,-0.010416853279883566,0.00030329259273158965,0.0228956322470161,2.008400114768291e-15,120260,A02
CD3,CD3E,-0.02738760712703375,2.1130431722581756e-21,-0.0016618442841661706,0.5644141325291478,120260,A02
CD4,CD4,0.08119210480047606,5.449139323839721e-175,0.07776377212709587,1.1919914293967828e-160,120260,A02
CD8,CD8A,0.02346930887498553,3.957800739570657e-16,0.051747570266975976,4.220158723350279e-72,120260,A02
CD20,MS4A1,-0.02138548335319743,1.198563627352398e-13,-0.02281281026262281,2.530969330313295e-15,120260,A02
CD68,CD68,0.09900283812074302,1.4068732452205108e-259,0.15295029664354498,0.0,120260,A02
CD31,PECAM1,0.15473823546709942,0.0,0.2448743517099227,0.0,120260,A02
CD11c,ITGAX,0.017042944350030908,3.408446252252428e-09,0.00923435463305972,0.0013630046259251061,120260,A02
HLA-DR,HLA-DRA,0.24130207704812323,0.0,0.2294198808686427,0.0,120260,A02
aSMA,ACTA2,0.16035952450282273,0.0,0.17672140834820477,0.0,120260,A02
KI67,MKI67,0.002676907251921666,0.3532499374032384,0.003999090322333215,0.1654976904171502,120260,A02
PD1,PDCD1,0.017058381269898205,3.2993798808969112e-09,0.00492032980798345,0.08795403835884551,120260,A02
PDL1,CD274,0.025438704886025697,1.1133058395360014e-18,0.007737152914222628,0.007293386954754131,120260,A02
FOXP3,FOXP3,0.007526317570280114,0.009053543427068269,-0.003573300518702173,0.21528664324910574,120260,A02
CD3,CD3D,-0.031067253201146887,1.777689624543786e-09,-0.04261099492474092,1.5267067019302095e-16,37494,B02
CD3,CD3E,-0.03214675041631817,4.782044437718072e-10,-0.05195349914553153,7.776519730703982e-24,37494,B02
CD4,CD4,0.02268573828739404,1.1121334871085138e-05,0.01337134273842043,0.009604325725862391,37511,B02
CD8,CD8A,0.03027459545358272,4.50269349951238e-09,0.025339095036999187,9.192859948598292e-07,37510,B02
CD20,MS4A1,-0.021530622653484273,3.0414148926801e-05,-0.019604582855637997,0.00014633601275699677,37511,B02
CD68,CD68,0.0629240467443294,3.166160492592949e-34,0.014400913106797069,0.0052846858751400255,37510,B02
CD31,PECAM1,0.09532528584701706,1.9293360392031118e-76,0.07769146501379098,2.5833269773776548e-51,37510,B02
CD11c,ITGAX,0.04873762852938842,3.569095307412379e-21,0.005944703574883942,0.2496038272694247,37510,B02
HLA-DR,HLA-DRA,0.13938206798053987,4.805192880470224e-162,0.17613343406639778,4.9155856179955573e-259,37510,B02
aSMA,ACTA2,0.19553765494930997,0.0,0.2323773832758197,0.0,37509,B02
KI67,MKI67,0.0076901196180458745,0.1363988236276266,0.0018035770754433482,0.726870290764842,37509,B02
PD1,PDCD1,0.0209645938232554,4.8940828104836144e-05,-0.002562680013555716,0.6196748025789317,37510,B02
PDL1,CD274,-0.001293718295095834,0.8021600117527979,-0.011308038930580917,0.02851834070601908,37510,B02
FOXP3,FOXP3,0.004145987552965138,0.4220031893181029,-0.004387354759812901,0.39549376617755877,37510,B02
CD3,CD3D,-0.05124259755568976,6.475915990377539e-32,-0.03787583008744354,3.695319916252024e-18,52578,C02
CD3,CD3E,-0.04386713848377965,8.02677771026557e-24,-0.03611813011448591,1.1875134072657106e-16,52578,C02
CD4,CD4,0.09377531220337162,5.113223788665661e-103,0.05110099625875726,9.389730090505524e-32,52588,C02
CD8,CD8A,0.07953999653771063,1.4741703969953611e-74,0.04375668335264414,1.029302245867571e-23,52587,C02
CD20,MS4A1,0.0683340549741613,1.8162417786669796e-55,0.04010998220925144,3.528735495197272e-20,52588,C02
CD68,CD68,0.09827650113650764,5.312421016118444e-113,0.0826907475273533,1.8834706922101954e-80,52588,C02
CD31,PECAM1,0.1686660003060597,0.0,0.18230253486891598,0.0,52588,C02
CD11c,ITGAX,0.06087786448138207,2.2723148654641287e-44,0.019215293551369708,1.0492478549849418e-05,52588,C02
HLA-DR,HLA-DRA,0.30010868203476004,0.0,0.2859525405966479,0.0,52588,C02
aSMA,ACTA2,0.15000383679480764,3.10260466648869e-262,0.18544715577732845,0.0,52588,C02
KI67,MKI67,,,,,52588,C02
PD1,PDCD1,0.043736637142429424,1.0784596551350077e-23,0.014852433971564893,0.0006591116976468618,52587,C02
PDL1,CD274,0.00650232064974231,0.1359396794861511,-0.006701276270750607,0.12436489981096963,52587,C02
FOXP3,FOXP3,0.029632378151627385,1.0712811013059791e-11,0.009218179719855783,0.03452429450770079,52587,C02
